Client,Numero,Matricule,Montant,Presence
AMSA REALITY,113561,2465TTA1,,non
BNDE,118759,DK9845BL,,non
BNDE,118765,AA367AZ,13000,non
BNDE,118766,AA589VM,,non
BNDE,118769,AA174JY,,non
BNDE,118770,AA177JY,,non
BNDE,118771,AA182JY,,non
BNDE,118772,AA091JW,,non
BNDE,118773,AA079JW,,non
BNDE,118774,AA589JX.,,non
BNDE,118775,AA642LJ,12500,non
BNDE,118776,AA951RV,,non
BNDE,118777,AA960VR,7000,non
CDF,109974,DK0387BL,42500,non
CDF,113553,AD6393,25000,non
CDF,113555,AD6395,26500,non
CDF,118789,AD6397,102500,non
CDF,118790,AD6394,12000,non
CFAO,12556,DK4890AX0,,non
CFAO,12673,DK2512AT,,non
CFAO,12732,AA586DY,,non
CFAO,12744,DK6987AS,,non
CFAO,12745,DK3518AK,,non
CFAO,15045,AA435BZ,,non
CFAO,15049,DK7539BL,,non
CFAO,15053,AA590DY,,non
CFAO,15057,DK5971AM,,non
CFAO,15080,DK1294BC,,non
CFAO,15094,DK3495BL0,,non
CFAO,15107,DK4536Bb,,non
CFAO,15108,DK0941AT,,non
CFAO,15164,DK7322AN,,non
CLUB THIOSSANE,116459,AA713VZ,,non
CLUB THIOSSANE,116458,AB027AX,,non
CLUB THIOSSANE,116457,AB312BE,,non
CLUB THIOSSANE,118748,AA561BF,,non
CLUB THIOSSANE,118749,AA767FZ,,non
CLUB THIOSSANE,118750,AA923YV,77000,non
CLUB THIOSSANE,118751,AA746FZ,,non
CLUB THIOSSANE,118752,AA765FZ0,,non
CLUB THIOSSANE,118753,AA109WA,25000,non
CLUB THIOSSANE,118754,AA931YV,19000,non
CLUB THIOSSANE,118755,AA928YV,5500,non
CIMAF SENEGAL,64236,1418EX0,7000,non
CIMAF SENEGAL,113528,3276EX,5000,non
CIMAF SENEGAL,113557,3236EX,3000,non
CIMAF SENEGAL,113558,AA365XE,,non
CRBC,118763,AA217SZ,27000,non
CRBC,118764,AB802BN,48000,non
CMS,116050,AA987HB,6500,non
