Client,Numero,Matricule,Montant,Presence
3FPT,32659,AD2994TTD1,,oui
3FPT,32660,AD30801,,oui
3FPT,32681,AD293960,3000.0,oui
3FPT,32697,AD294000,1500.0,oui
3FPT,32698,AD293950,17500.0,oui
3FPT,32699,AD293970,1000.0,oui
3FPT,69604,AD2543,5000.0,oui
3FPT,104175,DK2714BD.,,oui
3FPT,104176,AD294370,19500.0,oui
3FPT,104370,AD271500,,oui
3FPT,112649,AD294340,8000.0,oui
AEGC,101629,AA248CN.,2000.0,oui
AEGC,101630,AA238SS,4000.0,oui
AEGC,101631,027CD198,3000.0,oui
AEGC,101632,027CD197,,oui
AEGC,101633,027CD190,,oui
AEGC,101634,027CD234,,oui
AEGC,101641,AA898MX,4000.0,oui
AEGC,92247,AA248CN,,oui
AEGC,89801,027CD219,11000.0,oui
AEGC,89822,AA349HE,8000.0,oui
AEGC,89823,AA209CC,4000.0,oui
AEGC,89832,027IT231,34000.0,oui
AMSA REALITY,113561,2465TTA1,,non
AMSA REALITY,113562,AA690CA0,51500.0,oui
AMSA REALITY,113563,4830TTA10,27000.0,oui
AMSA REALITY,113579,2466TTA1,,oui
AMSA REALITY,113580,439TTA1,30000.0,oui
AMSA REALITY,113581,440TTA1,,oui
AMSA REALITY,113582,441TTA1,20000.0,oui
AMSA REALITY,113583,AA740HV,,oui
AMSA REALITY,113584,AA743HX,30000.0,oui
AMSA REALITY,113585,442TTA1,,oui
AMSA REALITY,113586,462TTA1,23000.0,oui
AMSA REALITY,113587,STC250T4,,oui
AMSA REALITY,113588,AA684MH0,5000.0,oui
AMSA REALITY,113589,AA719FJ,3000.0,oui
AMSA REALITY,113590,4760TTA10,9000.0,oui
AMSA REALITY,113591,AA275AH,9500.0,oui
AMSA REALITY,113592,AA663PT,,oui
AMSA REALITY,113593,AA386WA,,oui
AMSA REALITY,113594,AA235GM,,oui
AMSA REALITY,113595,AA183MJ,,oui
AMSA REALITY,113596,AA144BP,,oui
ASPT,25822,AA812BB,,oui
ASPT,25831,AA701AM,,oui
ASPT,25834,AD25759,,oui
ASPT,25835,AD25761,,oui
ASPT,25836,AD25762,11000.0,oui
ASPT,25837,AD25763,17000.0,oui
ASPT,25838,AD25764,,oui
ASPT,25839,AD25779,,oui
ASPT,64069,AD25759,,oui
ASPT,106063,AA329ND,12500.0,oui
ASPT,106064,AD 25764,6000.0,oui
ASPT,106065,DK2579AS,4000.0,oui
ASPT,112669,DK6694AM,32500.0,oui
ASPT,113603,AD257080,1500.0,oui
AXALLURE,64436,AA888CL,20500.0,oui
AXALLURE,64457,AA909BT,23500.0,oui
AXALLURE,64458,AA641EG,45000.0,oui
AXALLURE,64459,TH8712K0,,oui
AXALLURE,64460,AA872EX,,oui
AXALLURE,90819,AA449PN,5000.0,oui
BNDE,118759,DK9845BL,,non
BNDE,118765,AA367AZ,13000.0,non
BNDE,118766,AA589VM,,non
BNDE,118769,AA174JY,,non
BNDE,118770,AA177JY,,non
BNDE,118771,AA182JY,,non
BNDE,118772,AA091JW,,non
BNDE,118773,AA079JW,,non
BNDE,118774,AA589JX.,,non
BNDE,118775,AA642LJ,12500.0,non
BNDE,118776,AA951RV,,non
BNDE,118777,AA960VR,7000.0,non
CARMEUSE,25340,DK9582BH,,oui
CARMEUSE,26067,DK1887BM,,oui
CARMEUSE,26202,DK0030BK,,oui
CARMEUSE,33185,AA028EM,14500.0,oui
CARMEUSE,64001,AA620BZ,7000.0,oui
CARMEUSE,64002,DK0010BK0,6000.0,oui
CARMEUSE,64117,DK1224BL,18000.0,oui
CARMEUSE,64828,AA142QV,28000.0,oui
CARMEUSE,64829,AA-140-QT,,oui
CARMEUSE,64831,AA670QP,13500.0,oui
CARMEUSE,64832,AA676DQ,8000.0,oui
CARMEUSE,64833,AA607DL,14000.0,oui
CARMEUSE,64834,AA883QS,30000.0,oui
CARMEUSE,64835,AA663QP,6000.0,oui
CARMEUSE,64836,AA137QT,8500.0,oui
CARMEUSE,69868,DK0220BK,,oui
CARMEUSE,69869,AA984DS0,4000.0,oui
CARMEUSE,69870,AA592BG,,oui
CARMEUSE,69871,AA677GM0,,oui
CARMEUSE,69873,AA606BQ0,,oui
CARMEUSE,90574,AA410SC,14000.0,oui
CARMEUSE,90587,AA941RX,,oui
CDF,64363,AA188JD,40000.0,oui
CDF,64364,AA323DS,23000.0,oui
CDF,64365,AA187JD,26500.0,oui
CDF,64366,AA162JD,,oui
CDF,64367,AA157JD,16500.0,oui
CDF,64368,AA151JD,22500.0,oui
CDF,64369,AA160JD,,oui
CDF,64370,AA186DR0,,oui
CDF,64371,AA146JD,2000.0,oui
CDF,64372,AA148JT,,oui
CDF,100769,AA418CJ,8500.0,oui
CDF,103514,AA186DR00,12000.0,oui
CDF,109974,DK0387BL,42500.0,non
CDF,113553,AD6393,25000.0,non
CDF,113555,AD6395,26500.0,non
CDF,113569,AA128AD,8500.0,oui
CDF,113570,DK2964BH,12000.0,oui
CDF,118789,AD6397,102500.0,non
CDF,118790,AD6394,12000.0,non
CFAO,12556,DK4890AX0,,non
CFAO,12673,DK2512AT,,non
CFAO,12732,AA586DY,,non
CFAO,12744,DK6987AS,,non
CFAO,12745,DK3518AK,,non
CFAO,15045,AA435BZ,,non
CFAO,15049,DK7539BL,,non
CFAO,15053,AA590DY,,non
CFAO,15057,DK5971AM,,non
CFAO,15080,DK1294BC,,non
CFAO,15094,DK3495BL0,,non
CFAO,15107,DK4536Bb,,non
CFAO,15108,DK0941AT,,non
CFAO,15164,DK7322AN,,non
CLUB THIOSSANE,116459,AA713VZ,,non
CLUB THIOSSANE,116458,AB027AX,,non
CLUB THIOSSANE,116457,AB312BE,,non
CLUB THIOSSANE,118748,AA561BF,,non
CLUB THIOSSANE,118749,AA767FZ,,non
CLUB THIOSSANE,118750,AA923YV,77000.0,non
CLUB THIOSSANE,118751,AA746FZ,,non
CLUB THIOSSANE,118752,AA765FZ0,,non
CLUB THIOSSANE,118753,AA109WA,25000.0,non
CLUB THIOSSANE,118754,AA931YV,19000.0,non
CLUB THIOSSANE,118755,AA928YV,5500.0,non
CIMAF SENEGAL,64236,1418EX0,7000.0,non
CIMAF SENEGAL,100740,3079EX,44000.0,oui
CIMAF SENEGAL,100762,2487EX00,2000.0,oui
CIMAF SENEGAL,100763,1380EX00,3000.0,oui
CIMAF SENEGAL,100764,1717EX00,11000.0,oui
CIMAF SENEGAL,100765,1774EX00,10000.0,oui
CIMAF SENEGAL,100766,2976EX0,65500.0,oui
CIMAF SENEGAL,100767,2376EX00,3000.0,oui
CIMAF SENEGAL,100768,2035EX00,15000.0,oui
CIMAF SENEGAL,100770,2984EX00,42000.0,oui
CIMAF SENEGAL,100771,3004EX,6000.0,oui
CIMAF SENEGAL,100772,2883EX,28500.0,oui
CIMAF SENEGAL,100773,2858EX00,,oui
CIMAF SENEGAL,100774,2107EX00,9000.0,oui
CIMAF SENEGAL,100775,2974EX,34500.0,oui
CIMAF SENEGAL,100776,2997EX0,3000.0,oui
CIMAF SENEGAL,100777,3045EX,1000.0,oui
CIMAF SENEGAL,103179,3051EX,15000.0,oui
CIMAF SENEGAL,103180,3052EX,11000.0,oui
CIMAF SENEGAL,113528,3276EX,5000.0,non
CIMAF SENEGAL,113557,3236EX,3000.0,non
CIMAF SENEGAL,113558,AA365XE,,non
